Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
-1985,142 min,"Action, Drama, Romance",6.1,263,Kanwal Biala,Latif Faiziyev,Umesh Mehra,Sunny Deol
-1946,,,,,Ishwarlal,Ravindra Jaykar,Begum Para,
-1933,,,,,Harshadrai Sakerlal Mehta,Bhim,Gohar,
-1958,104 min,"Musical, Romance",5.9,9,Raja Nawathe,Bharat Bhushan,Nimmi,Om Prakash
-1990,,Romance,,,Munna Rizvi,Kiran Vohra,Jagdeep,Jahangir Jahangiri
-1977,,"Drama, Family, Fantasy",,,Ashish Kumar,Rajni Bala,Indira Bansal,Abhi Bhattacharya
-2000,,Drama,,,Anjana Trivedi,Upendra Trivedi,,
-2014,94 min,Drama,6.9,"1,589",Jeffrey D. Brown,Gillian Anderson,David Arquette,Priyanka Bose
-2010,52 min,"Documentary, News",,,Jody Hassett Sanchez,Mira Nair,,
-1998,156 min,"Action, Drama, Musical",6.2,"2,757",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Bobby Deol,Preity Zinta
-1969,,Action,6,5,Pachhi,Ajit Singh Deol,Deepa,Dharmendra
,,Comedy,,,Saurabh Varma,Shiv Panditt,Shazahn Padamsee,Kettan Singh
-1958,135 min,"Comedy, Romance, Thriller",7,140,Raj Khosla,Dev Anand,Waheeda Rehman,Jagdev
-1979,140 min,Drama,6,22,Bharathiraja,Adil Amaan,Kulbhushan Kharbanda,Madhukar
-1988,,Action,,,S.R. Pratap,Hemant Birje,Shehzad Khan,Sood Upendra
-1956,128 min,"Comedy, Drama, Romance",5.1,9,M. Sadiq,Harbans Darshan M. Arora,Ram Avtar,S.N. Banerjee
-2021,160 min,"Drama, Romance",,,Sid Bhagvathula,Vibhu Kaushik,Vindhyanshu Dubey,Shreya Ranjan
-2021,110 min,Horror,,,Azhar Hussain,Rahul Jain,Priti Singh,Asad Khan
-1955,,Fantasy,,,Majnu,Mahipal,Chitra,Chandrashekhar
-2009,94 min,"Fantasy, Horror",5.5,8,Salim Suma,Joginder Shelly,Raza Murad,Alaudeen
-2012,,Drama,,,Raja Bundela,Jamie Alter,Tom Alter,J. Brandon Hill
-1964,80 min,Action,2.8,28,Sultan,Bipin Gupta,Kamran,Leela Kumari
-1962,,Drama,5.8,50,Mehboob Khan,Sajid Khan,Kamaljit Singh,Kumkum
-2012,141 min,"Action, Comedy",4,"9,060",Ashwani Dhir,Anil Devgan,Ajay Devgn,Sanjay Dutt
-1958,,Adventure,2.3,24,Nanabhai Bhatt,Master Bhagwan,Kuldip Kaur,Prem Nath
-2019,49 min,Documentary,8.2,213,Vibha Bakshi,,,
-1946,,,,,Kamlabai Gokhale,Mehmood,,
-2013,102 min,"Drama, Mystery, Thriller",3.5,189,Makrand Deshpande,Akkash Basnet,Nivedita Bhattacharya,Devyani
-1973,,Drama,,,Prabhat Mukherjee,Mallika Sarabhai,Jatin Khanna,Sulochana Latkar
-2014,127 min,"Comedy, Drama",5.3,980,Charudutt Acharya,Rhea Chakraborty,Ali Fazal,Raghav Juyal
-2021,,Comedy,,,Ssaurabh Tyagi,Surbhi Jyoti,Atul Srivastava,Jassie Gill
-2018,,Drama,,,Ranjith Oraon,Sachin Kumar Meena,,
-2011,55 min,"Drama, Mystery, Sci-Fi",6.3,82,Amit Dutta,Nitin Goel,Gagan Singh Sethi,
-2019,143 min,"Action, Crime, Drama",8.1,"9,572",Abhishek Chaubey,Sushant Singh Rajput,Bhumi Pednekar,Ashutosh Rana
-1978,,Action,6.5,8,Naresh Kumar,Sudha Chopra,Rajan Haksar,Nasir Hussain
-1935,,,,,Anand Prasad Kapoor,Baburao Pendharkar,,
-1948,,Drama,,,Ajit,Leela Kumari,Harishchandra Rao,Vasantrao
-1958,171 min,"Drama, Romance",6,34,Shaheed Latif,Talat Mahmood,Balraj Sahni,Nutan
-1992,,Action,5.7,10,Ajay Kashyap,Jeetendra,Jaya Prada,Chunky Panday
-1978,,Drama,,,Satpal,Sunil Dutt,Rekha,Seema Kapoor
-1994,,Drama,,,Pankaj Berry,Sudha Chandran,Neena Gupta,Rohini Hattangadi
-1992,,Action,,,Shiv Kumar,Laxmikant Berde,Priya Arun Berde,Prasenjit Chatterjee
-1988,163 min,"Action, Family",4.8,90,K. Bapaiah,Jeetendra,Dharmendra,Nutan
-2019,210 min,"Drama, Musical, Romance",,,Amit Jain,Sheeba Chaddha,Lopamudra Raut,Arpit Chaudhary
-2018,97 min,"Crime, Drama",7.2,"2,528",Ivan Ayr,Geetika Vidya Ohlyan,Saloni Batra,Vikas Shukla
-2011,,Drama,,,Vicky Gangadhar,Anuj Sawhney,Sheena Shahabadi,Dalip Tahil
-2012,85 min,"Animation, Drama, Musical",6.7,77,Kushal Ruia,Sunidhi Chauhan,Ettienne Couthino,Devansh Doshi
-1989,,"Action, Comedy, Drama",,,Raja,Arjun Sarja,Madhuri,Nirosha
-2018,138 min,"Comedy, Romance",7.1,"20,000",Luv Ranjan,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar
-1983,119 min,Drama,6.6,9,M.S. Sathyu,Pankaj Dheer,Anant Nag,
-2013,,Comedy,4.3,178,Shekhar Ghosh,Tinnu Anand,Mahesh Balraj,Mithilesh Chaturvedi
-1995,,Drama,,,,,,
-2020,153 min,Drama,9.1,"83,029",Sudha Kongara,Suriya,Madhavan,Paresh Rawal
-1962,,"Drama, Family",7.2,14,Rajnish Bahl,Dharmendra,Nutan,K.N. Singh
-2018,131 min,"Biography, Drama, Sport",7.4,"4,648",Shaad Ali,Diljit Dosanjh,Taapsee Pannu,Angad Bedi
-1988,153 min,Comedy,5.6,60,Jagdeep,Jagdeep,Agha,Amitabh Bachchan
-1999,168 min,"Action, Drama",6.3,"2,820",E.V.V. Satyanarayana,Pranavanand,Amitabh Bachchan,Soundarya
-2021,176 min,"Action, Thriller",,,Rohit Shetty,Akshay Kumar,Katrina Kaif,Ajay Devgn
-1994,134 min,Thriller,,,Ajay Bannerjee,Soumitra Chatterjee,Mamata Shankar,
-2008,154 min,"Comedy, Drama, Romance",6.1,"1,019",Onir,Shabana Azmi,Boman Irani,Sanjay Suri
-2015,,Action,4.7,6,Vijay Pal,Shamim Khan,Anupam Shukla,Mukesh Tiwari
-2013,,Comedy,,,D.M. Subhashish,Master Aman,Prima Shambhavi Chatterjee,Dinesh Hingoo
-2015,132 min,Drama,,,Kumaar Aadarsh,Kumaar Aadarsh,Melica Amina,Shreya Chawla
-2013,114 min,Drama,5.8,34,Kumaar Aadarsh,Kumaar Aadarsh,Gagan Guru,Harman Preet Kaur
-2014,108 min,Drama,3.5,31,Kumaar Aadarsh,Kumaar Aadarsh,Leena Kapoor,
-2015,,Romance,,,Mehmood Ali,Shiba Bhardwaj,Zuber K. Khan,
-2010,99 min,"Drama, Mystery, Thriller",5.6,82,Sidharth Srinivasan,Dibyendu Bhattacharya,Saba Joshi,Avtar Sahani
,,Drama,,,Saif Khan Chishty,,,
-2019,119 min,Adventure,,,Shravan Kumar Rathore,Abraam Pandey,Jaspreet Kaur Pruthi,Prem Sharma
-2011,132 min,"Drama, Musical",7.1,826,Neerav Ghosh,Rajeev Khandelwal,Soha Ali Khan,Mrinalini Sharma
-2008,151 min,"Action, Drama",5.8,167,Siva,Tottempudi Gopichand,Anushka Shetty,Poonam Kaur
-1983,160 min,"Drama, Musical, Romance",5.7,196,Saawan Kumar Tak,Rajesh Khanna,Tina Ambani,Padmini Kolhapure
-1989,136 min,"Drama, Family",5.3,55,Saawan Kumar Tak,Jeetendra,Rekha,Jaya Prada
-2006,131 min,Thriller,4.7,43,Karan Razdan,Mahima Chaudhry,Padmini Kolhapure,Shakti Kapoor
-2013,,Animation,,,Rajiv Chilaka,,,
-1982,135 min,Drama,6.1,9,Biplab Roy Chowdhury,Utpal Dutt,Anita Kanwar,Amol Palekar
-2014,134 min,Action,5.9,31,V.K. Singh,Rati Agnihotri,Mansha Bahl,Rajniesh Duggall
-2003,,"Comedy, Horror",,,Manoj Sharma,Susheel Jangira,Kunal Kapoor,Shikhar
-2013,144 min,"Crime, Drama, Thriller",8,"52,354",Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee
-2007,102 min,"Action, Crime, Thriller",2.9,513,Vikram Bhatt,Urmila Matondkar,Sanjay Suri,Zayed Khan
-1947,,Action,,,Nari Ghadiali,Benjamin,Ruby,Mustafa
-2018,,Mystery,,,Dharam Panesar,Tapasya Agnihotri,Manoj Malhotra,Ramesh Malhotra
-2010,61 min,"Documentary, Family",5.8,6,Rajeev Gautam,Maya Sharma,,
-1999,103 min,"Crime, Drama",6.5,222,Dev Benegal,Rahul Bose,Laila Rouass,Shivaji Satam
-1996,,Drama,,,Pasha P. Jung,Akshay Anand,Babban,Raj Kiran
-2018,113 min,"Crime, Drama",,,Sriram Dalton,Ravi Sah,Akash Khurana,Arshad Khan
-1966,,"Action, Thriller",,,Dharam Kumar,Sheikh Mukhtar,Randhawa,Malika
-1968,155 min,"Action, Comedy, Romance",4.9,8,B.K. Adarsh,Dev Kumar,Jaymala Adarsh,K.N. Singh
-2020,,"Action, Comedy, Drama",,,Nilesh Sahay,Pooja Batra,Mohan Kapur,Malvika Raaj
-2020,140 min,"Drama, History, Mystery",,,Devansh Srivastava,Ravi Kishan,Naresh Neb,Anshuman Rai
-1977,,"Adventure, Drama, Fantasy",,,P. Subramaniam,Tikrusha,Raghavan,Ravi Kumar
-1975,166 min,"Drama, Fantasy",7.8,29,Bapu,N.T. Rama Rao,Janardhana Rao Arja,Saroja Devi B.
-2004,174 min,"Action, Fantasy",4.6,203,Krishna Vamsi,Nithiin,Ananth,Jogi Brothers
,120 min,"Action, Drama, Mystery",,,Mukesh Asopa,Mukesh Asopa,,
-1977,137 min,"Adventure, Drama, Fantasy",,,Kamalakara Kameshwara Rao,Ravi Kumar,Satyanarayana Kaikala,Gummadi
-1968,178 min,Drama,,,Jayalalitha J,Haranath,,
-1986,,Drama,7.7,83,K. Vasu,Vijayachander,Chandramohan,Anjali Devi
-1960,204 min,"Drama, Musical",8.5,52,P. Pullaiah,N.T. Rama Rao,Savitri,Varalakshmi S.
,,Thriller,,,Prasanth Mambully,Priya Prakash Varrier,Lee Nicholas Harris,Garima Agarwal
-2020,,Drama,9.1,28,Sanoj Mishra,Sanoj R. Mishra,Ravi Sudha Choudhary,Uzma Ahmed
-2003,163 min,"Horror, Mystery",4.4,330,Pavan Kaul,Tanishaa Mukerji,Dino Morea,Karann Nathh
-2005,,"Comedy, Family, Romance",5,59,Kirti Kumar,Aarti Chhabria,Jackie Shroff,Mahesh Anand
-1951,,,,,Vijay Mhatre,Dev Anand,Cuckoo,Gulab
-2012,,Thriller,3.5,8,Kishore Bhargav,Kiren Jogi,Priyanka Kothari,Nakul Vaid
-2011,,"Drama, Sport, Thriller",6.3,25,Sanjay Soorkar,Siddharth Kher,Sachin Khedekar,Dalip Tahil
-2011,96 min,"Comedy, Drama, Family",7.8,"6,493",Amole Gupte,Partho A. Gupte,Numaan Sheikh,Abhishek Reddy
-1982,,"Drama, Musical",7.7,53,Vinod Pande,Kumar Gaurav,Rati Agnihotri,Raj Kiran
-1938,171 min,,,,Vijay Bhatt,Jayant,Umakant,Shirin Banu
-1961,,Action,,,Babubhai Mistry,Bela Bose,Kamran,Arvind Kumar
-2021,,Action,,,Ken Ghosh,Akshaye Khanna,Manjari Fadnnis,Abhimanyu Singh
-1989,147 min,"Action, Crime, Drama",6.3,104,Gopal B.,Chiranjeevi,Bhanupriya,Jayamalini
-2022,120 min,"Biography, Crime, Drama",,,Jaimin Bal,,,
-2018,,"Crime, Thriller",7.1,67,Nikhil Mahajan,Sagar Deshmukh,Divya Menon,Smita Tambe
-2014,120 min,"Crime, Drama, Thriller",7.5,90,Saad Khan,Kanika Batra,Gulshan Grover,Rohiet Nair
-1942,157 min,,,,Chimanlal Luhar,Prem Adib,Kaushalya,Suraiya
-1956,153 min,"Comedy, Drama",8.2,913,Amit Mitra,Sombhu Mitra,Pradeep Kumar,Sumitra Devi
-2007,96 min,"Crime, Drama",6.2,24,Ananth Narayan Mahadevan,Salim Abubaker,Manuj Bhaskar,Shekhar Bhonsle
-2012,89 min,Drama,5.6,29,Ananth Narayan Mahadevan,Jahangir Khan,Ananth Narayan Mahadevan,Navni Parihar
-2021,,Drama,,,Nitin Supekar,Casiono Dsoza,Raavi Kishor,Deepalaxmi Moghe
-2010,54 min,"Documentary, Biography, Drama",7.5,8,Pankaj Johar,,,
-1991,148 min,"Action, Drama",6.2,65,Veerendranath Yandamoori,Chiranjeevi,Vijayshanti,Nirosha
-2019,56 min,Thriller,,,Subhanjan,Amrita,Dipannita,
-2004,,"Comedy, Romance",4.4,33,Ajai Sinha,Rocky Bhatia,Dia Mirza,Tejaswini Kolhapure
,,Drama,,,K Sukumar,Dibyayan Banerji,Kaushik Basu,Gosh Promila
-2009,110 min,"Comedy, Drama",5.8,350,Parvati Balagopalan,Vinay Pathak,Gul Panag,Anuj Chaudhary
,,Mystery,,,Jakee Patel,Prerna Trivedi,Dinesh Lamba,Armaan Tahil
-2007,100 min,"Drama, Romance, Thriller",4.9,338,Aanand L. Rai,Jimmy Sheirgill,Kay Kay Menon,Sonali Kulkarni
-2019,75 min,Documentary,,,Laura Kansy,Oskar Zoche,,
-2019,90 min,Crime,,,Jacob Paul,Priyanka Bora,Ravi Jhanghu,Swetanshu Mala
-2020,,Thriller,7.8,5,Prabal Baruah,Karan Oberoi,,
-1961,139 min,Fantasy,7.5,21,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Rajshree
-1938,,,,,Shakuntala Paranjpye,,,
-2018,128 min,"Comedy, Horror",7.6,"29,900",Amar Kaushik,Rajkummar Rao,Shraddha Kapoor,Pankaj Tripathi
-1975,,Drama,,,Rajkumar,Rikhi Oberoi,Monika Patel,Tun Tun
-2000,,Horror,,,Geeta Chauhan,Aditya Mohan,Ashima Pandey,Alpana Talwar
-2020,146 min,"Drama, Music",3.6,"5,930",Remo D'Souza,Varun Dhawan,Shraddha Kapoor,Prabhu Deva
-1995,148 min,Action,5.2,16,Gopal B.,Ali,Brahmanandam,Devan
-2009,96 min,"Action, Crime, Fantasy",3.7,"23,206",Andrzej Bartkowiak,Kristin Kreuk,Neal McDonough,Michael Clarke Duncan
-1938,135 min,Drama,6.3,15,Phani Majumdar,K.L. Saigal,Kanan Devi,Boken Chatto
-1966,,"Drama, Musical",,,Chandrashekhar,David Abraham,Agha,Bela Bose
-2010,128 min,"Action, Crime, Drama",6.9,"1,014",Chandan Arora,Siddharth,Ankur Vikal,Anupam Kher
-2006,,"Drama, Romance",,,Sanjay Jha,Adam Bedi,Tannishtha Chatterjee,Vineet Kumar
-2021,,Documentary,,,Arno Krimmer,Vishal Bhardwaj,Jagjit Singh,Zakir Hussain
-2014,100 min,Drama,6.5,31,Sanghamitra Chaudhuri,Zeenat Aman,Indrani Haldar,Shubh Mukherjee
-1936,,,,,Jehanara Kajjan,,,
-2006,,Thriller,6,10,Mahesh Manjrekar,Amitabh Bachchan,Atul Kale,Mahesh Manjrekar
,,Drama,,,Ajay Yadav,Rajpal Yadav,Ranjeet,Mukesh S. Bhatt
,,Comedy,,,Ram Gopal Varma,,,
-2012,146 min,"Comedy, Drama, Music",5.3,"16,038",Karan Johar,Sidharth Malhotra,Alia Bhatt,Varun Dhawan
-2019,146 min,"Action, Comedy, Drama",2.2,"17,483",Punit Malhotra,Tiger Shroff,Ananya Panday,Tara Sutaria
-2003,121 min,"Comedy, Drama, Sport",2.6,121,Gaurav Pandey,Raveena Tandon,Alyy Khan,Salman Khan
-1944,,,,,Kamlabai Gokhale,,,
-1947,,,,,Ramnik Vyas,Fearless Nadia,,
-1994,,"Action, Drama, Romance",4.8,20,Deepak Balraj Vij,Avtar Singh Ahluwalia,Tinnu Anand,Ami Asthana
-2018,,Romance,,,Samrat Das,Anil Arya,Anusheel Chakrabarty,Priyanka Jadhav
-2001,157 min,"Comedy, Musical, Mystery",6.7,"1,859",N. Chandra,Sharman Joshi,Sahil Khan,Riya Sen
-2017,102 min,Romance,,,Nayana Khedkar,Rukshar Beherzi,Pawan Jain,Nayana Khedkar
-1972,,"Drama, Family",6.5,6,A. Bhimsingh,Sanjay Khan,Vinod Khanna,Om Prakash
-1988,,Drama,,,Sandeepan V. Kant,Pallavi Joshi,Guddi Maruti,Sangeeta Naik
-1954,107 min,Romance,5.4,9,Shantaram Rajaram Vankudre,Pradeep Kumar,Shantaram Rajaram Vankudre,Jayshree Gadkar
-1944,,,,,P.C. Barua,P.C. Barua,Tulsi Chakraborty,Devbala
-1983,,Romance,8,83,Indrajeet Singh Bansal,Aamir Khan,,
-1977,,Action,,,Prakash Inamdar,Paidi Jairaj,Nana Palsikar,Mahesh Raaj
-1996,150 min,Action,,,Udhayakumar,Arjun Sarja,,
-2014,170 min,Drama,,,Naresh Khanna,Balraj Negi,Bijju,Baldev Rana
-1946,122 min,,,,Master Vinayak,Prem Adib,Shanta Apte,Ishwarlal
-1963,,,,,Datta Dharmadhikari,Madhu Apte,Ram Chitnis,Chitra
-1932,,,,,Khatun,Jal Merchant,Sankatha,Lala Yaqoob
-1974,,Fantasy,,,K. Prabhakar,Gangadhar,Comedian Guggu,Kalpana
-1971,180 min,"Action, Comedy, Drama",6.5,31,Tapi Chanakya,Sanjeev Kumar,Waheeda Rehman,Mohamad Ali Fardin
-1966,130 min,"Biography, Drama, History",8.2,41,Piyush Bose,Amar Dutta,Samar Chatterjee,Ashish Ghosh
-1966,,Drama,,,Piyush Bose,Ajeet,Amar,Robin Kanerjee
-2005,,"Action, Drama, History",3.1,245,K. Raghavendra Rao,Venkatesh Daggubati,Prakash Raj,Tom Alter
-1947,,Drama,,,Bn Rao,,,
-1956,,,,,Datta Dharmadhikari,Nalini Jaywant,Mahipal,Shahu Modak
-2005,105 min,Drama,7.2,13,Ramchandra P.N.,Sharada Devi,Bharathi Jain,Jagatpal Jain
-2005,139 min,"Action, Crime, Drama",3.7,35,Jeppi,Ashima Bhalla,Karunas,M.N. Nambiar
-2000,145 min,"Action, Crime, Drama",4,44,Raj Kapoor,Nassar,Prithviraj,Raghuvaran
-1982,,"Crime, Drama, Romance",,,Ravikant Nagaich,Anand Balraj,Leena Das,Gulshan Grover
-1979,164 min,"Action, Drama, Musical",6.7,"1,053",Manmohan Desai,Shashi Kapoor,Amitabh Bachchan,Rekha
-1994,145 min,"Action, Comedy, Drama",5.7,"1,755",Kuku Kohli,Ajay Devgn,Akshay Kumar,Karisma Kapoor
-1987,,Drama,,,Ramesh Bedi,Prem Bedi,Jamuna,Ashok Kalra
-2001,,Drama,,,,,,
-1968,160 min,"Drama, Romance",4.8,29,R. Bhattacharya,Rajshree,Jeetendra,Sulochana Latkar
-1974,,Drama,,,Nirmal Kumar,Sushil Kumar,Narendra,
-1958,,,,,B. Ramakrishnaiah Panthulu,Shivaji Ganesan,Gemini Ganesan,M.V. Rajamma
-1961,,Drama,5,5,R. Krishnan,S. Panju,Balraj Sahni,Mala Sinha
-1953,,,,,Shyama,,,
-1954,,"Drama, Family",6.3,6,Anant Mane,Guru Dutt,Mala Sinha,Geeta Bali
-1942,,"Drama, Family",,,Jagatrai Pesumal Advani,,,
-1986,143 min,Romance,6.1,43,K. Raghavendra Rao,Jeetendra,Sridevi,Padmini Kolhapure
-1964,,"Drama, Romance",6.2,17,K.S. Gopalakrishnan,Guru Dutt,Mala Sinha,Om Prakash
-1948,,,,,A. Shakoor,Manorama,,
-1996,,Action,,,Mahesh Anand,Balbir,Ravi Bhushan,Firoz Khan
-1970,130 min,"Comedy, Drama",6.4,45,Vijay,Shashi Kapoor,Sharmila Tagore,Lalita Pawar
-2018,122 min,"Comedy, Drama",6.8,"7,421",Sharat Katariya,Anushka Sharma,Varun Dhawan,Raghuvir Yadav
-1960,161 min,"Drama, Romance",7.3,326,Bimal Roy,Nutan,Sunil Dutt,Shashikala
-2020,104 min,Drama,,,Deepak Bhardwaj,Kavita Joshi,Pratap Kumar,Rahul Kumar
-2020,,Drama,,,Rizwan Denial,Manoj Bakshi,Hemant Birje,Rizwan Khan
-1994,,Drama,,,Texas Gaikwad,Avinash,Meera,Nandini
-1942,,"Drama, Family",,,Master Bhagwan,Harishchandra,,
-1994,,Drama,,,,,,
-1984,,Drama,,,Himmat Dave,Jayshree Gadkar,Heena Kausar,Arvind Kumar
-1946,,,,,Apurba Kumar Mitra,Biman Bannerjee,Tulsi Chakraborty,Ahindra Choudhury
-2014,89 min,"Comedy, Romance",7.1,"2,478",Amit Masurkar,Naveen Kasturia,Mayank Tewari,Aditi Vasudev
-2004,138 min,"Action, Crime, Drama",3.2,359,Ramana,Dhanush,Manivannan,Pasupathy
-1933,,,,,R.S. Choudhury,Ruby Mayer,Jillo,Chanda
-2000,120 min,"Action, Drama",5.6,54,T.L.V. Prasad,Vikas Anand,Birbal,Mithun Chakraborty
-2016,170 min,"Action, Drama, Sport",7,"41,777",Ali Abbas Zafar,Salman Khan,Kubbra Sait,Anushka Sharma
-1956,,Fantasy,,,Nanubhai Vakil,Chitra,Hiralal,Kuldip Kaur
-1982,,Romance,,,Farhat Chaudhary,Yusuf Kamal,Chandan Kumar,Ashok Mehta
-1979,,Drama,,,Sona Mastan Mirza,Satish Kaul,Raza Murad,Kanchan Mattu
-1934,,,,,Abdul Rashid Kardar,Gul Hamid,Mazhar Khan,Zarina
-1937,,,,,Shakuntala Paranjpye,,,
-1972,,Action,8.7,6,Mohammed Hussain,Dara Singh,Ajit,Helen
-1982,,Action,5.2,5,Mohammed Hussain,Dara Singh,Ajit,Helen
-1956,,Action,,,Mohan Sinha,Sheila Ramani,Paidi Jairaj,Raju
-2000,,Action,,,Teerat Singh,Ramesh Goyal,Shakti Kapoor,Ali Khan
-1982,,"Action, Drama, Romance",5.9,10,Shibu Mitra,Ashok Kumar,Vinod Mehra,Rati Agnihotri
-2008,166 min,"Crime, Drama, Thriller",6.2,238,Sohail Tatari,Sikandar Kher,Gul Panag,Yuvika Chaudhary
-2018,128 min,"Comedy, Drama",7.1,16,Kunal v Singh,Saurabh Agarwal,Altaf,Manish Garg
-2017,91 min,Drama,,,Dilip Sood,,,
,,Crime,,,Manish,Sonu Bhai,Subhankar Chatterjee,Amit Sagar
-1983,143 min,Romance,6.9,11,Chander H. Bahl,Birbal,Deepika Chikhalia,Iftekhar
-1990,,,,,Rajshri Nair,Sheela Sharma,,
-1982,138 min,"Drama, Family, Romance",6.3,21,Chander H. Bahl,Mithun Chakraborty,Ranjeeta Kaur,Iftekhar
-1958,,,,,Shanti Prakash Bakshi,Ravindra Kapoor,Shashikala,
-2006,125 min,"Drama, Romance",5.4,18,Rohit Krishnakant Nayyar,Samir Aftab,Mithun Chakraborty,Renuka Shahane
-1979,131 min,"Comedy, Drama, Romance",5.9,39,Hiren Nag,Sulochana Latkar,Murad,Gayatri
-2003,78 min,Documentary,,,Rahul Roy,,,
-1936,,,,,Aspi Irani,Laxmi,,
-1997,,Drama,,,Gul Bahar Singh,Master Amey Ambulkar,Anita Kulkarni,Sadhu Meher
-2008,135 min,"Action, Comedy, Mystery",5.3,"2,619",Rohit Shetty,Ajay Devgn,Ayesha Takia,Arshad Warsi
-1993,,Comedy,6.7,6,Pankaj Advani,Rakesh Bedi,Deven Bhojani,Kurush Deboo
-2017,110 min,"Crime, Mystery, Thriller",,,Avdhesh Kumar Sharma,Ramesh Diwedi,Adi Irani,Akshat Irani
-2020,67 min,Romance,,,Shreya Rastogi,Shreya Rastogi,Falak Khan,Aparna Desai
-1980,,Romance,,,Sandeep Mehta,,,
-1936,167 min,,,,Debaki Bose,Rampiary,Kamala Jharia,Gul Hamid
-1975,,"Drama, Family",5.4,22,Adurthi Subba Rao,Rajendra Kumar,Mala Sinha,Hema Malini
-1949,143 min,Drama,6.6,30,Satish Nigam,Raj Kapoor,Rehana,Roopkamal
-1966,,Romance,,,Agha,Sabita Chatterjee,Randhir,Rehman
-1968,175 min,"Action, Crime, Drama",6.8,93,Harnam Singh Rawail,Dilip Kumar,Vyjayanthimala,Balraj Sahni
-2013,100 min,"Comedy, Drama, Thriller",5.4,30,Rituparno Ghosh,Jaya Bachchan,Madhavan,Tota Roy Chowdhury
-1938,,,,,Feroze Dastur,Indurani,,
-1966,,,,,Kedar Kapoor,Vijaya Choudhury,Meenaxi,Randhawa
-1963,,,5.7,6,Babubhai Mistry,Mahipal,Helen,Sulochana Latkar
-1939,,,,,Navinchandra,,,
-2017,56 min,"Drama, Romance",6.1,7,Fenil Seta,Shreyas Porus Pardiwalla,Harsha Chopda,Sunita Verma
-1984,114 min,"Drama, Romance",5.6,128,Raj Khosla,Sunny Deol,Amrita Singh,Dharmendra
-2009,127 min,Drama,4.5,6,Amy Thanawala,Tara Sharma,Makrand Shukla,Rajendra Chawla
-2004,169 min,"Action, Comedy, Musical",2.5,147,Vimal Kumar,Aftab Shivdasani,Ameesha Patel,Gulshan Grover
-2004,,Horror,,,,,,
-2005,60 min,Documentary,8.6,663,Komal Tolani,Amitabh Bachchan,Bhagyashree,Mahesh Bhatt
-2016,110 min,Comedy,6.5,31,Shailendra Singh,Sunny Kaushal,Ashrut Jain,Ajit Singh Arora
-1976,121 min,Drama,6.8,20,Mohan Segal,Jeetendra,Ashok Kumar,Nirupa Roy
-2003,142 min,"Action, Crime, Drama",4.3,136,Padam Kumar,Nandita Das,Uday Chopra,Rahul Dev
-2014,90 min,Crime,5.9,33,Aamreeta Gautam,Sabreen Baker,Swetanshu Bora,Mukesh Ghatiya
-2019,154 min,"Biography, Drama",8,"23,000",Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Nandish Singh
-2016,,Animation,5.8,5,Rajiv Chilaka,,,
-2016,,Animation,5.8,5,Rajiv Chilaka,,,
-2016,,Animation,5.5,11,Rajiv Chilaka,Krishna Mohan Chintapatla,,
-2013,83 min,"Drama, Mystery, Romance",1.9,180,Navin Batra,Ashmit Patel,Veena Malik,Sana Oberoi
-2014,133 min,"Comedy, Drama, Family",4.6,398,Indra Kumar,Rekha,Sharman Joshi,Randhir Kapoor
-1994,95 min,"Action, Thriller",5.5,70,K. Muralimohana Rao,Ali,Brahmanandam,Chalapathi Rao
-1960,,"Action, Adventure",4.8,18,Mohammed Hussain,Anant Thakur,Helen,Paidi Jairaj
-1987,123 min,"Action, Adventure, Sci-Fi",4.5,301,B. Gupta,Puneet Issar,Sonia Sahni,Dharmendra
-2008,66 min,Documentary,8,648,Faiza Ahmad Khan,Shakeel Bharati,Farogh Jafri,Akram Khan
-2008,120 min,"Drama, Romance",6,707,Rohit Jugraj,Kunal Khemu,Tulip Joshi,Aushima Sawhney
-2002,136 min,"Drama, Musical, Romance",6.4,475,Tanuja Chandra,Lucky Ali,Simone Singh,Achint Kaur
-1990,,Comedy,6,8,Subrata Bose,Shail Chaturvedi,Rohan Kapoor,Alok Nath
-1985,149 min,"Comedy, Drama, Musical",6.8,45,K. Viswanath,Girish Karnad,Jaya Prada,Sachin Pilgaonkar
-1982,,"Thriller, Mystery",7.3,58,Jag Mundhra,Ambrish Sangal,Sanjeev Kumar,Shabana Azmi
-1987,,Drama,,,Tanvir Ahmed,Kamal Chopra,Gopi Desai,A.K. Hangal
-2008,89 min,Family,,,Vishal Chaturvedi,Amla Chaturvedi,Siddharh Shrivastava,Shobit Shukla
-2014,,Documentary,,,Neeta Jain-Duhaut,,,
-1966,155 min,"Romance, Musical, Action",6.7,124,T. Prakash Rao,Vyjayanthimala,Rajendra Kumar,Ajit
-1997,,Action,3.3,18,T.L.V. Prasad,Rakesh Bedi,Mithun Chakraborty,Puneet Issar
